資  產  科  目,,,物  品  分  類,,貼標籤,定期盤點,,
編號,,名稱,編號,名  稱,【X】,【X】,備  註  欄,
4231,1,中央冷暖系統,001,水冷柜機,,,,
4232,1,水管電力及氣體輸系統,001,電錶箱,,,,
4232,1,,002,水管鋪設,,,,
4232,1,,003,中央氣體系統,,,,
4232,1,,004,微風發電系統裝置,,,,
4232,1,,005,太陽能發電系統,,,,
4232,1,,006,氣化爐,,,,
4233,1,校車,001,12座位輕型汽車,,,,
4233,1,,002,5座位輕型汽車,,,,
4233,1,,003,輕型電單車,,,,
4233,1,,004,9座位輕型汽車,,,,
4234,1,電訊網絡,001,電話系統,,,,
4234,1,,002,光纖網路鋪設,,,,
4235,1,升降系統,001,電梯,,,,
4236,1,防火及安全系統,001,聯網門禁系統,,X,,
4236,1,,002,無線防盜系統,,X,,
4236,1,,003,網絡監控系統,,X,,
4236,1,,004,圖書防盜系統,,X,,
4249,1,幼兒玩具設備,001,戶外兒童樂園,,,,
4249,1,,002,培苗樂園,,,,
4249,1,,003,雙響筒,,,,
4249,1,,004,八音敲琴,,,,
4249,1,,005,手搖鈴,,,,
4249,1,,006,腰鈴,,,,
4249,1,,007,腕鈴/腳鈴,,,,
4249,1,,008,動物手搖鈴,,,,
4249,1,,009,小熊沙錘,,,,
4249,1,,010,動物沙錘,,,,
4249,1,,011,卡通五音木琴,,,,
4249,1,,012,動物木制響板,,,,
4249,1,,013,手搖小鈴鼓,,,,
4249,1,,014,中號鈴鼓,,,,
4249,1,,015,木制魚蛙,,,,
4249,1,,016,直桶蛙,,,,
4249,1,,017,印地安鼓(20cm),,,,
4249,1,,018,彩色五鼓(12.5cm),,,,
4249,1,,019,齒木,,,,
4249,1,,020,13鈴棒鈴,,,,
4249,1,,021,多音響桶,,,,
4249,1,,022,金屬紗筒,,,,
4249,1,,023,三角鐵(每邊長12.7cm),,,,
4249,1,,024,手提八音琴(鐵片),,,,
4249,1,,025,銅擦(15cm),,,,
4249,1,,026,銅擦(9cm),,,,
4249,1,,027,銅擦(7cm),,,,
4249,1,,028,銅擦(5.5cm),,,,
4249,1,,029,帶架風鈴,,,,
4249,1,,030,椰戈鼓,,,,
4249,1,,031,粉色軍鼓(20cm),,,,
4249,1,,032,八音搖鈴,,,,
4249,1,,033,木質組合套裝樂器,,,,
4249,1,,034,玻璃鋼城堡大型組合,,,,
4261,2,課室傢具,0,課室傢具(中學部),,,,
4261,2,,001,學生?,X,X,,
4261,2,,002,學生椅,X,X,,
4261,2,,003,教師? / 講壇,X,X,,
4261,2,,004,電腦?,X,X,,
4261,2,,005,彎角控制?(中控教壇),X,X,,
4261,2,,006,教壇,X,X,,
4261,2,,007,四層木架,X,X,,
4261,2,,008,簿柜,X,X,,
4261,2,,009,電視機架層板,X,X,,
4261,2,,010,黑白板 / 告示綠板,X,X,,
4261,2,,011,壁報板(牆氈) / 水松板,X,X,,
4261,2,,012,百葉簾 / 布簾,,X,,
4261,2,,100,課室傢具(小學部),,,,
4261,2,,101,學生?,X,X,,
4261,2,,102,學生椅,X,X,,
4261,2,,103,教師?,X,X,,
4261,2,,104,電腦?,X,X,,
4261,2,,105,彎角控制?(中控教壇),X,X,,
4261,2,,106,四層書包柜,X,X,,
4261,2,,107,三層玩具柜 / 三層書包柜 / 三層簿柜,X,X,,
4261,2,,108,小提琴柜 / 美勞柜,X,X,,
4261,2,,109,圖書架 / 圖書柜,X,X,,
4261,2,,110,18格 / 36格膠柜桶柜,X,X,,
4261,2,,111,掛牆柜,X,X,,
4261,2,,112,木柜,X,X,,
4261,2,,113,教壇,X,X,,
4261,2,,114,黑白板 / 告示綠板,X,X,,
4261,2,,115,壁報板(牆氈) / 水松板,X,X,,
4261,2,,116,鐵腳膠椅 / 鐵腳靠背椅,X,X,,
4261,2,,117,屏風,X,X,,
4261,2,,118,百葉簾 / 布簾,,X,,
4261,2,,119,電視機掛牆架,X,X,,
4261,2,,200,課室傢具(幼稚園),,,,
